arquivo,tamanho_paginas,tamanho_memoria,algoritmo,pageFaults, dirtyPages,tempo
../exemplos/matriz.log,8,512,FIFO,27104,6919,0.1875
../exemplos/matriz.log,8,1024,FIFO,15410,4516,0.25
../exemplos/matriz.log,8,2048,FIFO,6672,2302,0.328125
../exemplos/matriz.log,8,4096,FIFO,3840,1402,0.4375
../exemplos/matriz.log,8,8192,FIFO,2778,885,0.359375
../exemplos/matriz.log,8,16384,FIFO,2326,165,0.546875
../exemplos/matriz.log,16,128,FIFO,324507,54843,0.140625
../exemplos/matriz.log,16,256,FIFO,205727,46099,0.15625
../exemplos/matriz.log,16,512,FIFO,70151,15982,0.15625
../exemplos/matriz.log,16,1024,FIFO,22815,6120,0.1875
../exemplos/matriz.log,16,2048,FIFO,12021,3824,0.25
../exemplos/matriz.log,16,4096,FIFO,4910,1827,0.3125
../exemplos/matriz.log,16,8192,FIFO,3027,1141,0.296875
../exemplos/matriz.log,16,16384,FIFO,2294,711,0.375
../exemplos/matriz.log,32,128,FIFO,403797,56910,0.15625
../exemplos/matriz.log,32,256,FIFO,314398,54456,0.140625
../exemplos/matriz.log,32,512,FIFO,188541,43099,0.140625
../exemplos/matriz.log,32,1024,FIFO,59061,13547,0.15625
../exemplos/matriz.log,32,2048,FIFO,19309,5295,0.1875
../exemplos/matriz.log,32,4096,FIFO,9506,3150,0.25
../exemplos/matriz.log,32,8192,FIFO,4013,1500,0.28125
../exemplos/matriz.log,32,16384,FIFO,2461,919,0.28125
../exemplos/matriz.log,64,128,FIFO,458585,59417,0.140625
../exemplos/matriz.log,64,256,FIFO,350270,56339,0.140625
../exemplos/matriz.log,64,512,FIFO,271380,53923,0.140625
../exemplos/matriz.log,64,1024,FIFO,137751,33692,0.15625
../exemplos/matriz.log,64,2048,FIFO,40262,9338,0.15625
../exemplos/matriz.log,64,4096,FIFO,14861,4231,0.1875
../exemplos/matriz.log,64,8192,FIFO,6848,2416,0.25
../exemplos/matriz.log,64,16384,FIFO,3175,1198,0.265625
../exemplos/simulador.log,2,128,LRU,59155,14134,0.203125
../exemplos/simulador.log,2,256,LRU,34943,9872,0.25
../exemplos/simulador.log,2,512,LRU,20163,6755,0.375
